Organization,Address,ZIP,Main Phone,Hours,Payment,Age Range Served,Other Languages,Behavioral Services Types,Crisis Services,Grief Services - Availability,Location
Access Community Health Network - Rogers Park Family Health Center,1555 W. Howard St.,60626,773-764-7146,"Weekdays: Monday - Friday 8am - 5pm
Weekends: Saturday 8am - 12pm (2nd & 4th)",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old; 5-12 years old; 13-17 years old; 18-24 years old; 25-64 years old; Older than 64 years old;,Spanish,Behavioral Health Consulting;Individual Psychotherapy - short term;,false,true,POINT (-87.670406964 42.01911098)
Access Community Health Network - Plaza Family Health Center,2533 W. Cermak Rd.,60608,773-523-0900,"Weekdays: Monday, Wednesday, & Friday 7:30am - 6pm; Tuesday 7:30am  - 8pm
Weekends: Saturday 8:30am - 1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,false,true,POINT (-87.689122999 41.850567)
Access Community Health Network - Pilsen Family Health Center,1817 S. Loomis St.,60657,312-666-6511,"Weekdays: Monday & Tuesday 8am - 7pm; Wednesday - Friday 8am - 6pm
Weekends: Saturday 8am - 12:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,false,true,POINT (-87.660969024 41.85733501)
Access Community Health Network - Madison Family Health Center,3800 W. Madison St.,60624,773-826-6600,"Weekdays: Monday - Friday 8:30am - 6pm
Weekends: Saturday 8:30am - 1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.721125021 41.881091)
Access Community Health Network - Kedzie Family Health Center,3229-43 W. 47th Pl.,60632,773-254-6044,"Weekdays: Monday - Thursday 6:30am - 7pm; Friday 7:30am - 5pm
Weekends: Saturday 7:30am - 4pm, Fifth Saturday 7:30am-1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,false,true,POINT (-87.705200998 41.805955997)
Access Community Health Network - Humboldt Park Family Health Center,3202 W. North Ave.,60647,773-278-1880,"Weekdays: Monday - Friday 8:30am - 5pm
Weekends: Saturday (every other) 9am - 1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,false,true,POINT (-87.707046811 41.910184884)
Access Community Health Network - Holy Cross,"2701 W. 68th St., 3 South",60629,773-434-4040,"Weekdays: Monday - Friday 6:30am - 5:30pm
Weekends: Saturday 7am - 3pm (1st & 3rd)",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,false,true,POINT (-87.690959977 41.769295983)
Access Community Health Network - Grand Boulevard Health and Specialty Center,5401 S. Wentworth Ave.,60609,773-288-6900,"Weekdays: Monday - Friday 8am - 5pm
Weekends: Saturday 9am - 1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.630313974 41.796236006)
Access Community Health Network - Gary Comer Youth Center,7200 S. Ingleside Ave.,60619,773-324-6942,"Weekdays: Monday, Wednesday, & Friday 8:30am - 5pm; Tuesday & Thursday 9:30am - 6pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Group Therapy or Support Groups; Individual Psychotherapy - short term;,false,true,POINT (-87.60244599 41.764062993)
Access Community Health Network - Doctors Medical Center,6240 W. 55th St.,60638,773-284-2200,"Weekdays: Monday, Wednesday, & Friday 8am - 5pm; Tuesday & Thursday 8am - 7pm
Weekends: Saturday 8am 12pm (except 5th)",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,false,true,POINT (-87.778630996 41.792672985)
Access Community Health Network - Centro Medico San Rafael,3204 W. 26th St.,60623,773-927-3100,"Weekdays: Monday, Tuesday, Wednesday 8:30am-5pm; Thursday 8:30am-7pm; Friday 8:30am-6pm 
Weekends: Saturday 8:30am-3pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,false,true,POINT (-87.705381041 41.844724017)
Access Community Health Network - Centro Medico,3700 W. 26th St.,60623,773-542-5203,"Weekdays: Monday & Thursday 8am - 5:30pm; Tuesday & Friday 8am - 5pm; Wednesday 8am - 7pm
Weekends: Saturday 7:30am - 2pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,false,true,POINT (-87.717581991 41.844516984)
Access Community Health Network - Cabrini Family Health Center,3450 S. Archer Ave.,60608,773-523-1000,"Weekdays: Monday, Tuesday, & Friday 8am - 5:30pm; Wednesday & Thursday 7:30am-7pm
Weekends: Saturday 8am - 12pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,false,true,POINT (-87.676604962 41.831349014)
Access Community Health Network - Brickyard Family Health Center,"6020 W. Diversey Ave., Building West",60639,773-237-5544,"Weekdays: Monday - Friday 8am - 6pm
Weekends: Saturday 9am - 1pm (1st & 3rd)",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,false,true,POINT (-87.77674599 41.931372989)
Access Community Health Network - Brandon Family Health Center,2822 E. 83rd St.,60617,773-721-7600,"Weekdays: Monday - Friday 8am - 5pm
Weekdays: Saturday 9am - 1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Individual Psychotherapy - short term;,false,true,POINT (-87.555412123 41.74465227)
Access Community Health Network - Booker Family Health Center,654 E. 47th St.,60653,773-624-4800,"Weekdays: Monday - Friday 8am - 5pm
Weekends: Saturday 9am - 1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,false,true,POINT (-87.609246982 41.809703001)
Access Community Health Network - Austin Family Health Center,"4909 W. Division St., Suite 508",60651,773-364-4600,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,false,true,POINT (-87.749253012 41.902004016)
Access Community Health Network - Auburn Gresham Family Health Center,8234 S. Ashland Ave.,60620,773-874-1400,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,false,true,POINT (-87.663657017 41.743809004)
Access Community Health Network - Ashland Family Health Center,5159 S. Ashland Ave.,60609,773-434-9216,"Weekdays: Monday 8am - 6pm; Tuesday - Friday 7:30am - 5:30pm 
Weekends: Saturday 9am - 1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.66465057 41.799772817)
A Beautiful Mind,"5113 S. Harper Ave., Suite 2C",60615,773-304-3699,Weekdays: Monday - Friday 8am - 4:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,,Assertive Community Treatment; Behavioral Health Consulting;Case Management/Care Coordination; Individual Psychotherapy - short term; Individual Psychotherapy - long term; Group Therapy or Support Groups; Family Psychotherapy; Psychiatry; Psychological Testing;,false,true,POINT (-87.58906311 41.801759096)
